,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.0,200.0,200.0,200.0,200.0,400.0,400.0,400.0,500.0,800.0,800.0,800.0,800.0,800.0,800.0
1,0.0,100.0,100.0,100.0,100.0,500.0,500.0,500.0,500.0,500.0,500.0,800.0,800.0,900.0,900.0,900.0
2,0.0,0.0,200.0,200.0,200.0,200.0,200.0,400.0,500.0,500.0,500.0,600.0,600.0,600.0,600.0,600.0
3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,300.0,300.0,300.0,400.0,400.0,500.0,500.0
4,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,300.0,400.0,400.0,400.0,400.0,500.0,500.0
5,100.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,600.0,600.0,600.0,700.0,700.0,700.0
6,100.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,700.0,800.0,800.0,800.0,800.0,800.0
7,100.0,100.0,100.0,100.0,400.00000000000006,400.00000000000006,400.00000000000006,400.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,700.0,700.0,700.0,700.0
8,0.0,0.0,0.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0
9,0.0,400.0,400.0,400.0,400.0,600.0,600.0,600.0,600.0,800.0,800.0,1000.0,1000.0,1000.0,1000.0,1000.0
