,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,54.00000000000001,54.00000000000001,54.00000000000001,54.00000000000001,54.00000000000001,90.0,90.0,90.0,108.0,108.0,108.0,108.0
1,0.0,18.0,18.0,18.0,18.0,18.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2,0.0,0.0,18.0,18.0,18.0,18.0,18.0,36.0,54.0,54.0,54.0,72.0,72.0,72.0
3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,36.0,90.0,108.0,108.0,108.0
4,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,54.0,108.0,108.0,108.0,108.0
5,18.0,90.0,90.0,90.0,90.0,126.0,126.0,126.0,126.0,162.0,162.0,198.0,198.0,198.0
6,18.0,90.0,90.0,90.0,90.0,90.0,90.0,108.0,126.0,126.0,126.0,126.0,144.0,144.0
7,18.0,18.0,18.0,18.0,72.0,72.0,72.0,72.0,90.0,90.0,90.0,90.0,126.0,126.0
8,0.0,0.0,0.0,18.0,18.0,18.0,90.0,90.0,90.0,108.0,108.0,108.0,108.0,108.0
9,0.0,72.0,72.0,72.0,72.0,144.0,144.0,144.0,144.0,144.0,144.0,198.0,198.0,198.0
